import time: self [us] | cumulative | imported package
import time:       629 |        629 |                       usb._debug
import time:       806 |        806 |                           usb.util
import time:       485 |        485 |                           usb._interop
import time:       522 |        522 |                           usb._objfinalizer
import time:       485 |        485 |                           usb._lookup
import time:      2644 |       4940 |                         usb.core
import time:       783 |        783 |                         usb.control
import time:      2223 |       7946 |                       usb.legacy
import time:      1823 |      10941 |                     usb
import time:        95 |      11036 |                   usb.core
import time:      1482 |       1482 |                     ctypes.util
import time:      1387 |       1387 |                         importlib_resources.abc
import time:      1359 |       2746 |                       importlib_resources._common
import time:       668 |        668 |                       importlib_resources._functional
import time:       829 |       4242 |                     importlib_resources
import time:       545 |        545 |                     libusb_package._version
import time:      1028 |       7295 |                   libusb_package
import time:      1479 |      19809 |                 reachy_mini.media.audio_control_utils
import time:       777 |      21045 |               reachy_mini.media.audio_doa
import time:       555 |        555 |                 reachy_mini.motion
import time:       815 |        815 |                 reachy_mini.motion.move
import time:      1090 |       2459 |               reachy_mini.motion.goto
import time:      1419 |       1419 |               reachy_mini.utils.constants
import time:      3970 |      30158 |             reachy_mini.daemon.backend.abstract
import time:      1016 |      31173 |           reachy_mini.io.ws_server
import time:       534 |     330575 |         reachy_mini.io
import time:       120 |     330695 |       reachy_mini.io.protocol
import time:     14450 |      14450 |       reachy_mini.media.camera_constants
import time:       912 |        912 |       reachy_mini.media.camera_utils
import time:      1425 |       1425 |       reachy_mini.media.media_manager
import time:      3933 |    1703360 |     reachy_mini.reachy_mini
import time:      1518 |    2814571 |   reachy_mini.apps.app
import time:      4571 |    2886742 | reachy_mini
import time:      1144 |       1144 | robot_comic.utils
import time:      2744 |       2744 |       logging.handlers
import time:      2233 |       2233 |       socketserver
import time:      4565 |       9542 |     logging.config
import time:      5987 |       5987 |     configparser
import time:      1931 |       1931 |           click._compat
import time:      1015 |       1015 |             click.globals
import time:      1331 |       1331 |             click.utils
import time:      1712 |       4056 |           click.exceptions
import time:      3869 |       9855 |         click.types
import time:      1554 |       1554 |         click._utils
import time:      1553 |       1553 |           click.parser
import time:      1085 |       2638 |         click.formatting
import time:      1192 |       1192 |         click.termui
import time:      5212 |      20449 |       click.core
import time:      1342 |       1342 |       click.decorators
import time:      1166 |      22957 |     click
import time:       722 |        722 |     uvicorn._compat
import time:     10256 |      10256 |     uvicorn._types
import time:       717 |        717 |     uvicorn.importer
import time:       841 |        841 |     uvicorn.logging
import time:       540 |        540 |       uvicorn.middleware
import time:       820 |       1359 |     uvicorn.middleware.asgi2
import time:       792 |        792 |     uvicorn.middleware.message_logger
import time:      1029 |       1029 |     uvicorn.middleware.proxy_headers
import time:       362 |        362 |       a2wsgi
import time:      1142 |       1503 |     uvicorn.middleware.wsgi
import time:      2063 |      57763 |   uvicorn.config
import time:      1381 |       1381 |     uvicorn.server
import time:      1607 |       1607 |               multiprocessing.process
import time:      1365 |       1365 |               multiprocessing.reduction
import time:      1925 |       4896 |             multiprocessing.context
import time:       821 |       5716 |           multiprocessing
import time:       266 |        266 |             _multiprocessing
import time:     11341 |      11341 |             multiprocessing.util
import time:       391 |        391 |             _winapi
import time:     33128 |      45124 |           multiprocessing.connection
import time:       713 |      51552 |         uvicorn._subprocess
import time:       974 |      52525 |       uvicorn.supervisors.basereload
import time:      1109 |       1109 |       uvicorn.supervisors.multiprocess
import time:      1404 |       1404 |           watchfiles.filters
import time:      1277 |       1277 |             watchfiles._rust_notify
import time:      4736 |       6012 |           watchfiles.main
import time:      2609 |       2609 |           watchfiles.run
import time:       559 |        559 |           watchfiles.version
import time:       773 |      11356 |         watchfiles
import time:       731 |      12086 |       uvicorn.supervisors.watchfilesreload
import time:       727 |      66444 |     uvicorn.supervisors
import time:     11570 |      79394 |   uvicorn.main
import time:       797 |     137953 | uvicorn
import time:      1229 |       1229 |   uvloop.includes
import time:      1660 |       1660 |     uvloop._noop
import time:      9864 |      11523 |   uvloop.loop
import time:      2189 |       2189 |   uvloop._version
import time:      1766 |      16706 | uvloop
import time:      1370 |       1370 | uvicorn.loops.uvloop
import time:       787 |        787 |     httptools.parser.protocol
import time:      1280 |       1280 |       httptools.parser.errors
import time:      1953 |       3232 |     httptools.parser.parser
import time:      2010 |       2010 |     httptools.parser.url_parser
import time:       656 |       6684 |   httptools.parser
import time:      1016 |       1016 |   httptools._version
import time:       705 |       8403 | httptools
import time:      1227 |       1227 |   uvicorn.protocols.http.flow_control
import time:       626 |        626 |   uvicorn.protocols.utils
import time:      8637 |      10488 | uvicorn.protocols.http.httptools_impl
import time:       700 |        700 |     websockets.legacy
import time:       996 |       1695 |   websockets.legacy.handshake
import time:       657 |        657 |       websockets.asyncio
import time:      1501 |       2158 |     websockets.asyncio.compatibility
import time:      1086 |       1086 |     websockets.legacy.exceptions
import time:      1680 |       1680 |     websockets.legacy.http
import time:      2553 |       2553 |       websockets.legacy.framing
import time:      2421 |       4973 |     websockets.legacy.protocol
import time:      2968 |      12863 |   websockets.legacy.server
import time:      1708 |       1708 |   websockets.server
import time:      1963 |      18227 | uvicorn.protocols.websockets.websockets_impl
INFO:     Started server process [39678]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:7860 (Press CTRL+C to quit)
import time:      1042 |       1042 |   reachy_mini.media.camera_base
import time:      1436 |       1436 |         gi._error
import time:      6003 |       7438 |       gi._gi
import time:      4308 |       4308 |           cairo._cairo
import time:      2170 |       6477 |         cairo
import time:      7876 |      14353 |       gi._gi_cairo
import time:      2071 |      23860 |     gi
import time:       485 |        485 |             gi._constants
import time:       559 |        559 |             gi.docstring
import time:       877 |        877 |             gi._propertyhelper
import time:       897 |        897 |             gi._signalhelper
import time:       993 |       3809 |           gi.types
import time:       789 |       4597 |         gi.module
import time:      1136 |       1136 |         gi.overrides
import time:       997 |       6729 |       gi.importer
import time:       859 |       7587 |     gi.repository
import time:      1947 |       1947 |       gi._ossighelper
import time:      3541 |       3541 |         optparse
import time:      1972 |       5512 |       gi._option
import time:     24942 |      32400 |     gi.repository.Gst
import time:      1878 |       1878 |     gi.repository.GstApp
import time:     14246 |      79970 |   reachy_mini.media.gstreamer_utils
import time:      4236 |      85247 | reachy_mini.media.camera_gstreamer
import time:      1586 |       1586 |   reachy_mini.media.audio_base
import time:      2365 |       2365 |   reachy_mini.media.audio_utils
import time:      6672 |       6672 |   reachy_mini.media.device_detection
import time:      2417 |      13038 | reachy_mini.media.audio_gstreamer
import time:      1295 |       1295 |   usb.backend
import time:      1235 |       1235 |   usb.libloader
import time:      3506 |       6036 | usb.backend.libusb1
import time:       693 |        693 |   importlib_resources.future
import time:      1571 |       1571 |   importlib_resources._adapters
import time:       657 |        657 |     importlib_resources._itertools
import time:      1304 |       1304 |       importlib_resources.compat
import time:       776 |       2080 |     importlib_resources.compat.py39
import time:      1622 |       4357 |   importlib_resources.readers
import time:      1144 |       7763 | importlib_resources.future.adapters
import time:      1087 |       1087 |   robot_comic.motion_safety
import time:      7581 |       8668 | robot_comic.moves
import time:      6161 |       6161 |       dotenv.parser
import time:      2540 |       2540 |       dotenv.variables
import time:      2705 |      11405 |     dotenv.main
import time:       970 |      12374 |   dotenv
No .env file found, using environment variables
import time:     17394 |      29768 | robot_comic.config
import time:      1532 |       1532 | robot_comic.handler_factory
import time:      3795 |       3795 | robot_comic.startup_settings
2026-05-14 17:07:48,251 INFO robot_comic.utils:104 | Starting Robot Comic (git: ab89f45)
2026-05-14 17:07:48,256 INFO robot_comic.utils:115 | Loaded instance configuration from /home/pollen/.robot_comic/.env
import time:       600 |        600 |   opentelemetry
import time:      1564 |       1564 |       opentelemetry.context.context
import time:       932 |        932 |       opentelemetry.environment_variables
import time:       301 |        301 |         opentelemetry.util
import time:      1292 |       1292 |           importlib_metadata._meta
import time:      1952 |       1952 |           importlib_metadata._collections
import time:      1283 |       1283 |           importlib_metadata._compat
import time:       759 |        759 |           importlib_metadata._functools
import time:       620 |        620 |           importlib_metadata._itertools
import time:       383 |        383 |           importlib_metadata._typing
import time:       647 |        647 |           importlib_metadata.compat
import time:      1008 |       1008 |           importlib_metadata.compat.py39
import time:       439 |        439 |           importlib_metadata.compat.py311
import time:      5561 |      13939 |         importlib_metadata
import time:       713 |      14952 |       opentelemetry.util._importlib_metadata
import time:       801 |        801 |             zipp._functools
import time:      1258 |       1258 |               zipp.compat
import time:      1204 |       2462 |             zipp.compat.py310
import time:       552 |        552 |               zipp.compat.py313
import time:       720 |       1271 |             zipp.glob
import time:      2144 |       6676 |           zipp
import time:        87 |       6763 |         zipp.compat
import time:       846 |       7608 |       zipp.compat.overlay
import time:     52180 |      77233 |     opentelemetry.context
import time:      2312 |       2312 |       opentelemetry.util.types
import time:      2208 |       4519 |     opentelemetry.attributes
import time:      1284 |       1284 |         opentelemetry.trace.status
import time:      5656 |       6939 |       opentelemetry.trace.span
import time:      2840 |       9778 |     opentelemetry.trace.propagation
import time:      1260 |       1260 |     opentelemetry.util._decorator
import time:       692 |        692 |     opentelemetry.util._once
import time:       764 |        764 |     opentelemetry.util._providers
import time:      6677 |     100919 |   opentelemetry.trace
import time:      1529 |       1529 |         opentelemetry.metrics._internal.observation
import time:     22136 |      23665 |       opentelemetry.metrics._internal.instrument
import time:      5622 |      29286 |     opentelemetry.metrics._internal
import time:       896 |      30182 |   opentelemetry.metrics
import time:       484 |        484 |     opentelemetry.sdk
import time:      1704 |       1704 |     opentelemetry.sdk.util
import time:      7936 |       7936 |     opentelemetry.sdk.environment_variables
import time:      1310 |       1310 |         opentelemetry.semconv
import time:      6003 |       7312 |       opentelemetry.semconv.resource
import time:      8474 |       8474 |             email._header_value_parser
import time:      2273 |      10747 |           email.headerregistry
import time:      1705 |       1705 |           email.contentmanager
import time:      1521 |      13972 |         email.policy
import time:      1080 |       1080 |         importlib_metadata._text
import time:      1619 |      16670 |       importlib_metadata._adapters
import time:      7952 |      31934 |     opentelemetry.sdk.resources
import time:      3215 |       3215 |     opentelemetry.sdk.trace.sampling
import time:       303 |        303 |           opentelemetry.semconv._incubating
import time:       616 |        918 |         opentelemetry.semconv._incubating.attributes
import time:      3212 |       4130 |       opentelemetry.semconv._incubating.attributes.otel_attributes
import time:       530 |        530 |         opentelemetry.semconv._incubating.metrics
import time:      2655 |       3185 |       opentelemetry.semconv._incubating.metrics.otel_metrics
import time:       924 |       8237 |     opentelemetry.sdk.trace._tracer_metrics
import time:      1233 |       1233 |     opentelemetry.sdk.trace.id_generator
import time:       961 |        961 |       opentelemetry.sdk.util.instrumentation
import time:       988 |       1948 |     opentelemetry.sdk.util._configurator
import time:       521 |        521 |       opentelemetry.semconv.attributes
import time:       658 |       1178 |     opentelemetry.semconv.attributes.exception_attributes
import time:      9136 |      67003 |   opentelemetry.sdk.trace
import time:       988 |        988 |           opentelemetry.sdk.metrics._internal.exceptions
import time:      5061 |       5061 |             opentelemetry.sdk.metrics._internal.exemplar.exemplar
import time:      2117 |       2117 |             opentelemetry.sdk.metrics._internal.exemplar.exemplar_filter
import time:      1956 |       1956 |             opentelemetry.sdk.metrics._internal.exemplar.exemplar_reservoir
import time:       717 |       9850 |           opentelemetry.sdk.metrics._internal.exemplar
import time:      4556 |       4556 |             opentelemetry.sdk.metrics._internal.measurement
import time:      2831 |       7387 |           opentelemetry.sdk.metrics._internal.instrument
import time:      2762 |       2762 |             opentelemetry.sdk.metrics._internal.sdk_configuration
import time:      1212 |       1212 |                     opentelemetry.sdk.metrics._internal.exponential_histogram
import time:      1200 |       2412 |                   opentelemetry.sdk.metrics._internal.exponential_histogram.buckets
import time:       887 |        887 |                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping
import time:       611 |        611 |                     opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.errors
import time:       712 |        712 |                     opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.ieee_754
import time:      1170 |       2492 |                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.exponent_mapping
import time:      1316 |       1316 |                   opentelemetry.sdk.metrics._internal.exponential_histogram.mapping.logarithm_mapping
import time:     42229 |      42229 |                   opentelemetry.sdk.metrics._internal.point
import time:      4332 |      53666 |                 opentelemetry.sdk.metrics._internal.aggregation
import time:       986 |        986 |                   opentelemetry.sdk.metrics._internal.export._metric_reader_metrics
import time:      3281 |       4266 |                 opentelemetry.sdk.metrics._internal.export
import time:      1669 |       1669 |                 opentelemetry.sdk.metrics._internal.view
import time:      1527 |      61126 |               opentelemetry.sdk.metrics._internal._view_instrument_match
import time:      1742 |      62868 |             opentelemetry.sdk.metrics._internal.metric_reader_storage
import time:      2001 |      67630 |           opentelemetry.sdk.metrics._internal.measurement_consumer
import time:      4844 |      90697 |         opentelemetry.sdk.metrics._internal
import time:       148 |      90845 |       opentelemetry.sdk.metrics._internal.aggregation
import time:       816 |      91660 |     opentelemetry.sdk.metrics.export
import time:      1234 |       1234 |     opentelemetry.sdk.metrics.view
import time:      1172 |      94064 |   opentelemetry.sdk.metrics
import time:      1609 |       1609 |         opentelemetry.semconv.attributes.error_attributes
import time:      1073 |       2681 |       opentelemetry.sdk._shared_internal._processor_metrics
import time:      1837 |       4517 |     opentelemetry.sdk._shared_internal
import time:      1521 |       6038 |   opentelemetry.sdk.trace.export
import time:      1816 |     300619 | robot_comic.telemetry
2026-05-14 17:07:48,565 INFO robot_comic.telemetry:136 | OTel: instrumentation initialised (mode=trace)
2026-05-14 17:07:48,566 INFO robot_comic.utils:136 | Configured backend provider: local_stt (Local STT + ElevenLabs TTS), model: moonshine
import time:      2077 |       2077 | robot_comic.pause
2026-05-14 17:07:48,568 INFO robot_comic.utils:26 | Startup: +4.40s import pause
import time:       823 |        823 |         httpx.__version__
import time:      2527 |       2527 |               httpx._exceptions
import time:     11809 |      11809 |                     httpx._types
import time:      1679 |       1679 |                     httpx._utils
import time:      1923 |      15410 |                   httpx._multipart
import time:      1112 |      16521 |                 httpx._content
import time:       376 |        376 |                   zstandard
import time:      1742 |       2117 |                 httpx._decoders
import time:      4634 |       4634 |                 httpx._status_codes
import time:      6602 |       6602 |                   httpx._urlparse
import time:      2281 |       8882 |                 httpx._urls
import time:      3002 |      35155 |               httpx._models
import time:      3131 |      40811 |             httpx._auth
import time:      1635 |       1635 |             httpx._config
import time:       863 |        863 |                   httpx._transports.base
import time:      1335 |       2197 |                 httpx._transports.asgi
import time:      2108 |       2108 |                 httpx._transports.default
import time:       926 |        926 |                 httpx._transports.mock
import time:       867 |        867 |                 httpx._transports.wsgi
import time:      1190 |       7286 |               httpx._transports
import time:       159 |       7445 |             httpx._transports.base
import time:      3940 |      53829 |           httpx._client
import time:       954 |      54782 |         httpx._api
import time:      1249 |       1249 |             pygments
import time:      5708 |       5708 |             pygments.lexers._mapping
import time:      1811 |       1811 |             pygments.modeline
import time:      1131 |       1131 |             pygments.plugin
import time:      2590 |       2590 |             pygments.util
import time:      1531 |      14017 |           pygments.lexers
import time:       955 |        955 |               rich._extension
import time:      2105 |       3059 |             rich
import time:      1622 |       1622 |             rich._null_file
import time:       883 |        883 |             rich.errors
import time:      1419 |       1419 |                         rich.color_triplet
import time:      1077 |       2495 |                       rich.palette
import time:      1343 |       3838 |                     rich._palettes
import time:      1795 |       1795 |                     rich.repr
import time:       929 |        929 |                     rich.terminal_theme
import time:      4976 |      11536 |                   rich.color
import time:      4175 |      15710 |                 rich.style
import time:      2177 |      17887 |               rich.default_styles
import time:      1608 |       1608 |               rich.theme
import time:       751 |      20245 |             rich.themes
import time:      2179 |       2179 |             rich._emoji_replace
import time:       641 |        641 |             rich._export_format
import time:       542 |        542 |             rich._fileno
import time:       991 |        991 |                 rich._loop
import time:       440 |        440 |                 rich._pick
import time:      1221 |       1221 |                       rich._unicode_data._versions
import time:       707 |       1928 |                     rich._unicode_data
import time:      2494 |       4421 |                   rich.cells
import time:       766 |       5187 |                 rich._wrap
import time:      5225 |       5225 |                       rich.segment
import time:       833 |       6058 |                     rich.jupyter
import time:       554 |        554 |                       rich.protocol
import time:      2986 |       3539 |                     rich.measure
import time:      1026 |      10623 |                   rich.constrain
import time:      2466 |      13089 |                 rich.align
import time:      1813 |       1813 |                 rich.containers
import time:      1362 |       1362 |                 rich.control
import time:      1302 |       1302 |                 rich.emoji
import time:      6018 |      30199 |               rich.text
import time:      1923 |      32122 |             rich._log_render
import time:      2264 |       2264 |             rich.highlighter
import time:      4816 |       4816 |             rich.markup
import time:      1589 |       1589 |             rich.pager
import time:      1063 |       1063 |             rich.region
import time:       656 |        656 |             rich.screen
import time:       538 |        538 |             rich.styled
import time:     17647 |      89859 |           rich.console
import time:       375 |        375 |             mmap
import time:      1196 |       1196 |             rich.filesize
import time:      3153 |       3153 |                 rich.ansi
import time:       994 |       4147 |               rich.file_proxy
import time:      1214 |       1214 |               rich.live_render
import time:      1194 |       6554 |             rich.live
import time:      1079 |       1079 |             rich.progress_bar
import time:       983 |        983 |               rich._spinners
import time:      2166 |       2166 |                 rich.box
import time:      2070 |       2070 |                 rich._ratio
import time:      1097 |       1097 |                 rich.padding
import time:     16984 |      22316 |               rich.table
import time:      1443 |      24742 |             rich.spinner
import time:      8871 |      42814 |           rich.progress
import time:      1802 |       1802 |               pygments.filter
import time:      1391 |       1391 |                 pygments.token
import time:      1944 |       3335 |               pygments.filters
import time:       890 |        890 |               pygments.regexopt
import time:      3688 |       9714 |             pygments.lexer
import time:      1917 |       1917 |             pygments.style
import time:      1480 |       1480 |               pygments.styles._mapping
import time:      1101 |       2581 |             pygments.styles
import time:      4910 |      19120 |           rich.syntax
import time:      3204 |     169012 |         httpx._main
import time:      1539 |     226155 |       httpx
import time:      2613 |       2613 |           httpcore._models
import time:       413 |        413 |                   httpcore._backends
import time:      1443 |       1443 |                   httpcore._exceptions
import time:       596 |        596 |                   httpcore._utils
import time:      1282 |       1282 |                   httpcore._backends.base
import time:      1441 |       5174 |                 httpcore._backends.sync
import time:       863 |        863 |                 httpcore._ssl
import time:      1164 |       1164 |                   trio
import time:      2516 |       3679 |                 httpcore._synchronization
import time:      1153 |       1153 |                 httpcore._trace
import time:       980 |        980 |                         h11._abnf
import time:      1509 |       1509 |                           h11._util
import time:      3087 |       4595 |                         h11._headers
import time:     19199 |      24772 |                       h11._events
import time:      2242 |       2242 |                         h11._receivebuffer
import time:      2336 |       2336 |                         h11._state
import time:      6198 |      10774 |                       h11._readers
import time:      3370 |       3370 |                       h11._writers
import time:      2725 |      41640 |                     h11._connection
import time:       757 |        757 |                     h11._version
import time:       770 |      43166 |                   h11
import time:      1138 |       1138 |                   httpcore._sync.interfaces
import time:      1921 |      46223 |                 httpcore._sync.http11
import time:      1256 |      58345 |               httpcore._sync.connection
import time:      1616 |       1616 |               httpcore._sync.connection_pool
import time:      1142 |       1142 |               httpcore._sync.http_proxy
import time:       313 |        313 |                   h2
import time:       125 |        437 |                 h2.config
import time:      1033 |       1470 |               httpcore._sync.http2
import time:       390 |        390 |                 socksio
import time:       811 |       1201 |               httpcore._sync.socks_proxy
import time:      1058 |      64829 |             httpcore._sync
import time:       151 |      64980 |           httpcore._sync.connection_pool
import time:      1339 |      68931 |         httpcore._api
import time:       892 |        892 |             httpcore._backends.auto
import time:      1292 |       1292 |               httpcore._async.interfaces
import time:      3583 |       4875 |             httpcore._async.http11
import time:      1507 |       7274 |           httpcore._async.connection
import time:      1637 |       1637 |           httpcore._async.connection_pool
import time:      2193 |       2193 |           httpcore._async.http_proxy
import time:       448 |        448 |               h2
import time:       235 |        682 |             h2.config
import time:      2252 |       2934 |           httpcore._async.http2
import time:       580 |        580 |             socksio
import time:      1343 |       1922 |           httpcore._async.socks_proxy
import time:      1489 |      17447 |         httpcore._async
import time:      1402 |       1402 |         httpcore._backends.mock
import time:      1500 |       1500 |         httpcore._backends.anyio
import time:       424 |        424 |           trio
import time:      1042 |       1466 |         httpcore._backends.trio
import time:      1762 |      92505 |       httpcore
import time:     42457 |     361116 |     fastrtc.credentials
import time:     39705 |      39705 |             av._core
import time:      3072 |       3072 |             av.logging
import time:      1615 |       1615 |             av.about
import time:      2421 |       2421 |                       av.bytesource
import time:      2367 |       4788 |                     av.buffer
import time:      2216 |       2216 |                           av.audio.format
import time:      6549 |       6549 |                               av.error
import time:      2825 |       9373 |                             av.dictionary
import time:      2786 |       2786 |                                           av.container.pyio
import time:      1009 |       1009 |                                               av.sidedata
import time:      6322 |       6322 |                                                     av.option
import time:      2492 |       8814 |                                                   av.descriptor
import time:      4528 |      13342 |                                                 av.format
import time:      3234 |       3234 |                                                   av.utils
import time:      5541 |       8775 |                                                 av.stream
import time:      3166 |      25281 |                                               av.container.streams
import time:      4967 |       4967 |                                               av.sidedata.encparams
import time:      4328 |       4328 |                                               av.sidedata.motionvectors
import time:      5484 |      41067 |                                             av.sidedata.sidedata
import time:      4136 |       4136 |                                             av.opaque
import time:      4748 |      49951 |                                           av.packet
import time:      4634 |       4634 |                                           av.container.input
import time:      4488 |       4488 |                                           av.container.output
import time:      6831 |      68688 |                                         av.container.core
import time:       728 |      69415 |                                       av.container
import time:       310 |      69725 |                                     av.container.pyio
import time:      9112 |      78836 |                                   av.codec.context
import time:      3315 |       3315 |                                   av.video.format
import time:     10312 |      10312 |                                   av.video.reformatter
import time:      4840 |       4840 |                                   av.plane
import time:      5082 |       5082 |                                   av.video.plane
import time:      6657 |     109041 |                                 av.video.frame
import time:      3139 |       3139 |                                 av.video.stream
import time:      1372 |     113551 |                               av.video
import time:       111 |     113661 |                             av.video.format
import time:      4122 |     127155 |                           av.codec.hwaccel
import time:      7089 |     136460 |                         av.codec.codec
import time:      1195 |     137654 |                       av.codec
import time:       125 |     137779 |                     av.codec.codec
import time:      3391 |     145957 |                   av.frame
import time:      4865 |       4865 |                   av.audio.layout
import time:      3357 |       3357 |                   av.audio.plane
import time:      5031 |     159208 |                 av.audio.frame
import time:      3139 |       3139 |                 av.audio.stream
import time:      1076 |     163422 |               av.audio
import time:      3400 |       3400 |                         av.filter.link
import time:      4953 |       8353 |                       av.filter.context
import time:      3206 |      11559 |                     av.filter.graph
import time:      4630 |      16189 |                   av.filter.filter
import time:      3040 |       3040 |                   av.filter.loudnorm
import time:      1079 |      20307 |                 av.filter
import time:       114 |      20420 |               av.filter.filter
import time:      3115 |       3115 |               av.audio.resampler
import time:      4057 |     191013 |             av.audio.codeccontext
import time:      4271 |       4271 |             av.audio.fifo
import time:      4059 |       4059 |             av.bitstream
import time:      3886 |       3886 |             av.video.codeccontext
import time:      1431 |     249048 |           av
import time:      1099 |       1099 |             lazy_loader
import time:       884 |        884 |             librosa.version
import time:     10086 |      12068 |           librosa
import time:      1992 |       1992 |                               huggingface_hub
import time:      1472 |       1472 |                                   tqdm._monitor
import time:       542 |        542 |                                   tqdm._tqdm_pandas
import time:      4371 |       4371 |                                       tqdm.utils
import time:      3785 |       8156 |                                     tqdm.std
import time:      7619 |       7619 |                                     tqdm.version
import time:      2311 |      18085 |                                   tqdm.cli
import time:      1339 |       1339 |                                   tqdm.gui
import time:      2082 |      23518 |                                 tqdm
import time:       565 |        565 |                                 tqdm.autonotebook
import time:       914 |        914 |                                 tqdm.asyncio
import time:      1710 |      26706 |                               tqdm.auto
import time:      1645 |       1645 |                                 tqdm.contrib
import time:      1335 |       2979 |                               tqdm.contrib.concurrent
import time:      2442 |       2442 |                               huggingface_hub.constants
import time:      3248 |       3248 |                                 huggingface_hub.errors
import time:      2064 |       2064 |                                       huggingface_hub.utils.tqdm
import time:     33916 |      33916 |                                         huggingface_hub.utils._runtime
import time:       918 |      34833 |                                       huggingface_hub.utils._auth
import time:       809 |        809 |                                       huggingface_hub.utils._cache_assets
import time:      1572 |       1572 |                                         huggingface_hub.utils.logging
import time:      1921 |       1921 |                                         huggingface_hub.utils._parsing
import time:      1026 |       1026 |                                         huggingface_hub.utils._terminal
import time:     19046 |      23564 |                                       huggingface_hub.utils._cache_manager
import time:      1615 |       1615 |                                       huggingface_hub.utils._chunk_utils
import time:       657 |        657 |                                       huggingface_hub.utils._datetime
import time:       485 |        485 |                                       huggingface_hub.utils._experimental
import time:       841 |        841 |                                           yaml.error
import time:      1157 |       1157 |                                           yaml.tokens
import time:       950 |        950 |                                           yaml.events
import time:       529 |        529 |                                           yaml.nodes
import time:     18809 |      18809 |                                             yaml.reader
import time:      2135 |       2135 |                                             yaml.scanner
import time:      1063 |       1063 |                                             yaml.parser
import time:       753 |        753 |                                             yaml.composer
import time:      4240 |       4240 |                                             yaml.constructor
import time:      7104 |       7104 |                                             yaml.resolver
import time:      1212 |      35313 |                                           yaml.loader
import time:      1625 |       1625 |                                             yaml.emitter
import time:       887 |        887 |                                             yaml.serializer
import time:      1487 |       1487 |                                             yaml.representer
import time:      1622 |       5620 |                                           yaml.dumper
import time:      1882 |       1882 |                                             yaml._yaml
import time:      1397 |       3279 |                                           yaml.cyaml
import time:      2304 |      49989 |                                         yaml
import time:      1083 |       1083 |                                             filelock._error
import time:      5253 |       6335 |                                           filelock._api
import time:      1211 |       1211 |                                                   _sqlite3
import time:      1714 |       2924 |                                                 sqlite3.dbapi2
import time:       722 |       3646 |                                               sqlite3
import time:      1207 |       4853 |                                             filelock._read_write
import time:      1659 |       6512 |                                           filelock._async_read_write
import time:       740 |        740 |                                             filelock._util
import time:      1419 |       2158 |                                           filelock._soft
import time:     13796 |      13796 |                                               filelock._soft_rw._sync
import time:      1221 |      15017 |                                             filelock._soft_rw._async
import time:       655 |      15671 |                                           filelock._soft_rw
import time:      1721 |       1721 |                                           filelock._unix
import time:      1425 |       1425 |                                           filelock._windows
import time:      4626 |       4626 |                                           filelock.asyncio
import time:       585 |        585 |                                           filelock.version
import time:      1415 |      40444 |                                         filelock
import time:      1180 |      91612 |                                       huggingface_hub.utils._fixes
import time:      1009 |       1009 |                                         huggingface_hub.utils._subprocess
import time:      1483 |       2492 |                                       huggingface_hub.utils._git_credential
import time:      1150 |       1150 |                                           huggingface_hub.utils._typing
import time:      2422 |       3571 |                                         huggingface_hub.utils._validators
import time:      1866 |       5437 |                                       huggingface_hub.utils._headers
import time:      1294 |       1294 |                                         huggingface_hub.utils._lfs
import time:      7968 |       9262 |                                       huggingface_hub.utils._http
import time:       831 |        831 |                                       huggingface_hub.utils._pagination
import time:      1160 |       1160 |                                       huggingface_hub.utils._paths
import time:      6850 |       6850 |                                       huggingface_hub.utils._safetensors
import time:      2309 |       2309 |                                       huggingface_hub.utils._telemetry
import time:      9123 |       9123 |                                       huggingface_hub.utils._xet
import time:      2622 |     195717 |                                     huggingface_hub.utils
import time:     10749 |     206466 |                                   huggingface_hub._local_folder
import time:       551 |        551 |                                     huggingface_hub.utils.insecure_hashlib
import time:      2073 |       2623 |                                   huggingface_hub.utils.sha
import time:      9649 |     218737 |                                 huggingface_hub.file_download
import time:     10179 |      10179 |                                 huggingface_hub.lfs
import time:      9556 |     241718 |                               huggingface_hub._commit_api
import time:      6964 |       6964 |                               huggingface_hub._inference_endpoints
import time:      7608 |       7608 |                                 huggingface_hub._space_api
import time:     19173 |      26781 |                               huggingface_hub._jobs_api
import time:      4265 |       4265 |                               huggingface_hub._upload_large_folder
import time:     17895 |      17895 |                               huggingface_hub.community
import time:      7819 |       7819 |                               huggingface_hub.repocard_data
import time:      1273 |       1273 |                               huggingface_hub.utils._deprecation
import time:      6652 |       6652 |                               huggingface_hub.utils._verification
import time:      1491 |       1491 |                               huggingface_hub.utils.endpoint_helpers
import time:      1035 |       1035 |                               packaging
import time:     11304 |      11304 |                               packaging.version
import time:      4305 |       4305 |                                     fsspec.caching
import time:       604 |        604 |                                     fsspec._version
import time:      1815 |       1815 |                                     fsspec.callbacks
import time:      1250 |       1250 |                                       fsspec.utils
import time:      1642 |       1642 |                                         fsspec.config
import time:       824 |        824 |                                         fsspec.dircache
import time:       902 |        902 |                                         fsspec.transaction
