import time: self [us] | cumulative | imported package
import time:       650 |        650 |             email.encoders
import time:      1209 |       4946 |           email.charset
import time:      1657 |      21853 |         email.utils
import time:      2651 |       2651 |           email.header
import time:      1171 |       3822 |         email._policybase
import time:      1133 |       1133 |         email._encoded_words
import time:       684 |        684 |         email.iterators
import time:      2155 |      30416 |       email.message
import time:       557 |        557 |         importlib.metadata._functools
import time:       819 |       1375 |       importlib.metadata._text
import time:      1205 |      32996 |     importlib.metadata._adapters
import time:      1857 |       1857 |     importlib.metadata._meta
import time:      1259 |       1259 |     importlib.metadata._collections
import time:       732 |        732 |     importlib.metadata._itertools
import time:      2270 |       2270 |           tempfile
import time:      2108 |       2108 |           importlib.resources.abc
import time:      1443 |       1443 |           importlib.resources._adapters
import time:      2735 |       8554 |         importlib.resources._common
import time:       813 |        813 |         importlib.resources._legacy
import time:       620 |       9986 |       importlib.resources
import time:      1467 |      11453 |     importlib.abc
import time:      4027 |      67601 |   importlib.metadata
import time:       948 |        948 |         copy
import time:      4290 |       5238 |       dataclasses
import time:      3572 |       8810 |     reachy_mini.apps
import time:       430 |        430 |       starlette
import time:       662 |        662 |       starlette.status
import time:       715 |        715 |           annotated_doc.main
import time:       853 |       1568 |         annotated_doc
import time:       245 |        245 |                 _json
import time:      1416 |       1660 |               json.scanner
import time:      2209 |       3869 |             json.decoder
import time:      2287 |       2287 |             json.encoder
import time:      1130 |       7285 |           json
import time:       642 |        642 |               anyio._core
import time:      1585 |       2226 |             anyio._core._contextmanagers
import time:      1422 |       1422 |               anyio._core._exceptions
import time:       504 |        504 |                 sniffio._version
import time:       471 |        471 |                 sniffio._impl
import time:       692 |       1666 |               sniffio
import time:       812 |       3899 |             anyio._core._eventloop
import time:      1624 |       1624 |                   anyio.abc._eventloop
import time:       613 |        613 |                   anyio.abc._resources
import time:       640 |        640 |                     anyio._core._typedattr
import time:      7350 |       7350 |                         typing_extensions
import time:      1086 |       8435 |                       anyio.abc._tasks
import time:      3706 |      12140 |                     anyio.abc._streams
import time:      2645 |      15424 |                   anyio.abc._sockets
